StockRefID,ProductRefId,SalesmanId,Description,Shape,Carat,Color,Clarity,Cut,Polish,Symmetry,CertifiedBy,CertifiedID,MeaWidth,MeaLength,MeaDepth,Depth,TableSpec,CrownHeight,PavilionDepth,Graining,GirdleFrom,GirdleTo,StoneType,Country,Discount,Price,PricePerCarat,Treatment,LaserInscription,GirdlePercentage,PavilionAngle,CrownAngle,ImageName1,ImageName2,ImageName3,SecondaryPrice,IsSpecial,IsCalRapPrice
1.10E+11,,,,RB,0.4,E,VVS2,EX,VG,EX   ,GIA,2216941856,0.0,4.72,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,868.0,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,IF,EX,EX,VG   ,GIA,6212953193,0.0,4.29,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,813.15,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,IF,VG,EX,EX   ,GIA,2227052901,0.0,4.2,0.0,0.0,0.0,0.0,0.0,,STK , THK,,,,702.0,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,IF,EX,EX,EX   ,GIA,7226092526,0.0,4.3,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,859.95,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS1,EX,EX,VG   ,GIA,6222004747,0.0,4.29,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,625.5,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS1,VG,VG,VG   ,GIA,2226002479,0.0,4.22,0.0,0.0,0.0,0.0,0.0,,STK , THK,,,,562.5,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS1,VG,EX,G   ,GIA,1225002494,0.0,4.29,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,549.0,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS1,EX,EX,EX   ,GIA,5226016071,0.0,4.29,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,643.5,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS1,EX,EX,EX   ,GIA,1225016397,0.0,4.37,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,643.5,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS1,EX,EX,EX   ,GIA,2226016893,0.0,4.28,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,616.5,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS1,EX,EX,VG   ,GIA,6221016028,0.0,4.32,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,544.5,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS1,EX,EX,VG   ,GIA,3225050544,0.0,4.36,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,616.5,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS1,EX,EX,EX   ,GIA,2224049111,0.0,4.32,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,643.5,,,,0.0,0.0,0.0,,,,-1.0,,
1.01E+11,,,,RB,0.3,D,VVS1,EX,EX,EX   ,GIA,5213872095,0.0,4.37,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,643.5,,,,0.0,0.0,0.0,,,,-1.0,,
1.01E+11,,,,RB,0.3,D,VVS1,EX,EX,EX   ,GIA,2217940425,0.0,4.37,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,643.5,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS1,EX,EX,EX   ,GIA,2226048990,0.0,4.37,0.0,0.0,0.0,0.0,0.0,,MED,MED,,,,616.5,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS1,VG,EX,VG   ,GIA,7222089891,0.0,4.31,0.0,0.0,0.0,0.0,0.0,,STK , THK,,,,553.5,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS1,EX,EX,EX   ,GIA,3225092545,0.0,4.37,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,643.5,,,,0.0,0.0,0.0,,,,-1.0,,
1.01E+11,,,,RB,0.3,D,VVS1,EX,EX,EX   ,GIA,2227001325,0.0,4.33,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,643.5,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS1,VG,EX,VG   ,GIA,6222089440,0.0,4.23,0.0,0.0,0.0,0.0,0.0,,STK , THK,,,,567.0,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS1,EX,EX,EX   ,GIA,6222112200,0.0,4.35,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,643.5,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS1,EX,EX,EX   ,GIA,6222105922,0.0,4.35,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,652.5,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS1,EX,EX,EX   ,GIA,6221038806,0.0,4.28,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,641.25,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS1,EX,EX,EX   ,GIA,2226125665,0.0,4.32,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,652.5,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS1,EX,VG,EX   ,GIA,7221112596,0.0,4.29,0.0,0.0,0.0,0.0,0.0,,STK,STK,,,,614.25,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS1,EX,EX,VG   ,GIA,3225113064,0.0,4.3,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,614.25,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS1,VG,EX,EX   ,GIA,2226129977,0.0,4.22,0.0,0.0,0.0,0.0,0.0,,STK , THK,,,,576.0,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS1,EX,EX,EX   ,GIA,2227131352,0.0,4.33,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,652.5,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS1,EX,EX,EX   ,GIA,6221091035,0.0,4.38,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,643.5,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS2,VG,EX,EX   ,GIA,3215920242,0.0,4.19,0.0,0.0,0.0,0.0,0.0,,MED , THK,,,,504.0,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS2,EX,EX,VG   ,GIA,7221003487,0.0,4.3,0.0,0.0,0.0,0.0,0.0,,THN , STK,,,,592.2,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS2,EX,EX,VG   ,GIA,2226013842,0.0,4.29,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,581.7,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS2,VG,EX,VG   ,GIA,1223002228,0.0,4.32,0.0,0.0,0.0,0.0,0.0,,STK , THK,,,,552.3,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS2,EX,EX,EX   ,GIA,6221004780,0.0,4.3,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,617.4,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS2,EX,EX,EX   ,GIA,6211943506,0.0,4.31,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,615.3,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS2,EX,EX,EX   ,GIA,7228016401,0.0,4.27,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,575.4,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS2,EX,EX,EX   ,GIA,6225032348,0.0,4.28,0.0,0.0,0.0,0.0,0.0,,MED , STK,,,,583.8,,,,0.0,0.0,0.0,,,,-1.0,,
1.10E+11,,,,RB,0.3,D,VVS2,VG,EX,EX   ,GIA,6221092663,0.0,4.26,0.0,0.0,0.0,0.0,0.0,,STK , THK,,,,546.0,,,,0.0,0.0,0.0,,,,-1.0,,
